magicka.1.d;Я чувствую, как моя сила медленно возвращается. Я восстановил часть своей магии.;;;;;;;;;;;;;x
boost_local_morale;Увеличить местный боевой дух;;;;;;;;;;;;;x;
boost_local_morale_desc;Повысить боевой дух у солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600049;Используйте магию Иллюзии, чтобы повысить боевой дух у солдат в указанной провинции.;;;;;;;;;;;;;x;
EVTOPTA600049;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600049;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600049;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600049;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_local_morale_1;Увеличить местный боевой дух;;;;;;;;;;;;;x;
spell_boost_local_morale_2;Увеличить местный боевой дух;;;;;;;;;;;;;x;
spell_boost_local_morale_3;Увеличить местный боевой дух;;;;;;;;;;;;;x;
reduce_local_morale;Уменьшить местный боевой дух;;;;;;;;;;;;;x;
reduce_local_morale_desc;Понизить боевой дух у солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600050;Используйте магию Иллюзии, чтобы понизить боевой дух у вражеских солдат вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600050;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600050;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600050;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600050;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_reduce_local_morale_1;Уменьшить местный боевой дух;;;;;;;;;;;;;x;
spell_reduce_local_morale_2;Уменьшить местный боевой дух;;;;;;;;;;;;;x;
spell_reduce_local_morale_3;Уменьшить местный боевой дух;;;;;;;;;;;;;x;
spell_ward_character;Персонаж-наставник;;;;;;;;;;;;;x;
spell_ward_character_desc;Защитить этого персонажа от враждебных заклинателей.;;;;;;;;;;;;;x;
EVTDESC600051;Используйте магию Восстановления, чтобы защитить этого персонажа от враждебных заклинателей.;;;;;;;;;;;;;x;
EVTOPTA600051;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600051;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600051;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600051;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_ward;Опека;;;;;;;;;;;;;x;
spell_ward_region;Опека над провинцией;;;;;;;;;;;;;x;
spell_ward_region_desc;Защитить эти земли от враждебных чар.;;;;;;;;;;;;;x;
EVTDESC600052;Используйте магию Восстановления, чтобы защитить эти земли от враждебных чар.;;;;;;;;;;;;;x;
EVTOPTA600052;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600052;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600052;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600052;Я изменил свое решение.;;;;;;;;;;;;;x;
province_spell_ward;Опека над провинцией;;;;;;;;;;;;;x;
enchant_weapons;Зачаровать Оружие;;;;;;;;;;;;;x;
enchant_weapons_desc;Усилить солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600053;Используйте магию Колдовства, чтобы зачаровать оружие для ваших солдат.;;;;;;;;;;;;;x;
EVTOPTA600053;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600053;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600053;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600053;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_enchant_weapons_1;Зачаровать Оружие;;;;;;;;;;;;;x;
spell_enchant_weapons_2;Зачаровать Оружие;;;;;;;;;;;;;x;
spell_enchant_weapons_3;Зачаровать Оружие;;;;;;;;;;;;;x;
break_weapons;Сломать Оружие;;;;;;;;;;;;;x;
break_weapons_desc;Ослабить солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600054;Используйте магию Изменения, чтобы сломать оружие у вражеских солдат.;;;;;;;;;;;;;x;
EVTOPTA600054;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600054;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600054;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600054;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_break_weapons_1;Сломать Оружие;;;;;;;;;;;;;x;
spell_break_weapons_2;Сломать Оружие;;;;;;;;;;;;;x;
spell_break_weapons_3;Сломать Оружие;;;;;;;;;;;;;x;
enchant_armor;Зачаровать Броню;;;;;;;;;;;;;x;
enchant_armor_desc;Увеличить защиту у солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600055;Используйте магию Колдовства, чтобы зачаровать доспехи у ваших солдат;;;;;;;;;;;;;x;
EVTOPTA600055;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600055;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600055;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600055;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_enchant_armor_1;Зачаровать Броню;;;;;;;;;;;;;x;
spell_enchant_armor_2;Зачаровать Броню;;;;;;;;;;;;;x;
spell_enchant_armor_3;Зачаровать Броню;;;;;;;;;;;;;x;
break_armor;Поломка Брони;;;;;;;;;;;;;x;
break_armor_desc;Уменьшить защиту у солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600056;Используйте магию Изменения, чтобы сломать доспехи и щиты у вражеских солдат.;;;;;;;;;;;;;x;
EVTOPTA600056;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600056;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600056;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600056;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_break_armor;Поломка Брони;;;;;;;;;;;;;x;
spell_break_armor;Поломка Брони;;;;;;;;;;;;;x;
spell_break_armor;Поломка Брони;;;;;;;;;;;;;x;
####################TRAIT SPELLS;;;;;;;;;;;;;x;;
boost_morale_defence;Повышение боевого духа у обороняющихся;;;;;;;;;;;;;x;
boost_morale_defence_desc;Увеличение боевого духа у команды обороны;;;;;;;;;;;;;x;
EVTDESC600057;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600057;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600057;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600057;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600057;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_morale_defence_1;Несокрушимый Разум;;;;;;;;;;;;;x;
spell_boost_morale_defence_2;Несокрушимый Разум;;;;;;;;;;;;;x;
spell_boost_morale_defence_3;Несокрушимый Разум;;;;;;;;;;;;;x;
boost_morale_offence;Увеличение боевого духа у нападающих;;;;;;;;;;;;;x;
boost_morale_offence_desc;Увеличить боевой дух нападающей команды;;;;;;;;;;;;;x;
EVTDESC600058;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600058;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600058;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600058;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600058;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_morale_offence_1;Беспокойные Мысли;;;;;;;;;;;;;x;
spell_boost_morale_offence_2;Беспокойные мысли;;;;;;;;;;;;;x;
spell_boost_morale_offence_3;Беспокойные мысли;;;;;;;;;;;;;x;
increase_defence;Увеличение обороны;;;;;;;;;;;;;x;
increase_defence_desc;Увеличить командную оборону;;;;;;;;;;;;;x;
EVTDESC600059;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600059;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600059;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600059;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600059;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_increase_defence_1;Неуязвимый Оплот;;;;;;;;;;;;;x;
spell_increase_defence_2;Неуязвимый Оплот;;;;;;;;;;;;;x;
spell_increase_defence_3;Неуязвимый Оплот;;;;;;;;;;;;;x;
increase_damage;Увеличение урона;;;;;;;;;;;;;x;
increase_damage_desc;Увеличение урона команды;;;;;;;;;;;;;x;
EVTDESC600060;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600060;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600060;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600060;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600060;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_increase_damage_1;Медвежья Сила;;;;;;;;;;;;;x;
spell_increase_damage_2;Медвежья Сила;;;;;;;;;;;;;x;
spell_increase_damage_3;Медвежья Сила;;;;;;;;;;;;;x;
cure_disease_symptom;Исцелить Симптомы;;;;;;;;;;;;;x;
cure_disease_symptom_desc;Использовать магию Школы Восстановления для того, чтобы исцелить симптомы выбранной цели.;;;;;;;;;;;;;x;
EVTDESC600061;Использовать магию Школы Восстановления для того, чтобы исцелить симптомы выбранной цели.;;;;;;;;;;;;;x;
EVTOPTA600061;Кашель.;;;;;;;;;;;;;x;
EVTOPTB600061;Лихорадка.;;;;;;;;;;;;;x;
EVTOPTC600061;Понос.;;;;;;;;;;;;;x;
EVTOPTD600061;Рвота.;;;;;;;;;;;;;x;
EVTOPTE600061;Боль в груди.;;;;;;;;;;;;;x;
EVTOPTF600061;Судороги.;;;;;;;;;;;;;x;
EVTOPTG600061;Сыпь.;;;;;;;;;;;;;x;
EVTOPTH600061;Головная боль.;;;;;;;;;;;;;x;
EVTOPTI600061;Боль в животе.;;;;;;;;;;;;;x;
EVTOPTJ600061;Утомление.;;;;;;;;;;;;;x;
EVTOPTK600061;Недомогание.;;;;;;;;;;;;;x;
EVTOPTL600061;Я передумал.;;;;;;;;;;;;;x;
spell_polymorph_chicken;Куриный Полиморф;;;;;;;;;;;;;x;
spell_polymorph_chicken_desc;Использовать магию Школы Изменения для того, чтобы превратить цель в жалкую курицу.;;;;;;;;;;;;;x;
EVTDESC600062;Использовать магию Школы Изменения для того, чтобы превратить цель в жалкую курицу.;;;;;;;;;;;;;x;
EVTOPTA600062;Несколько дней в облике курицы не повредит моей цели.;;;;;;;;;;;;;x;
EVTOPTD600062;Я изменил(а) свое решение.;;;;;;;;;;;;;x;
hasten_army;Ускорить армию;;;;;;;;;;;;;x;
hasten_army_desc;Увеличить скорость команды;;;;;;;;;;;;;x;
EVTDESC600066;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600066;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600066;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600066;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600066;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_hasten_army_1;Поглощающий ветер;;;;;;;;;;;;;x;
spell_hasten_army_2;Поглощающий ветер;;;;;;;;;;;;;x;
spell_hasten_army_3;Поглощающий ветер;;;;;;;;;;;;;x;
smoke_screen;Дымовая завеса;;;;;;;;;;;;;x;
smoke_screen_desc;Улучшение команды отступления;;;;;;;;;;;;;x;
EVTDESC600067;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600067;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600067;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600067;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600067;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_some_screen_1;Дымовая завеса;;;;;;;;;;;;;x;
spell_some_screen_2;Дымовая завеса;;;;;;;;;;;;;x;
spell_some_screen_3;Дымовая завеса;;;;;;;;;;;;;x;
slow_enemy;Замедлить врага;;;;;;;;;;;;;x;
slow_enemy_desc;Замедлить команду преследующих;;;;;;;;;;;;;x;
EVTDESC600068;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600068;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600068;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600068;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600068;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_slow_enemy_1;Улиткин шаг;;;;;;;;;;;;;x;
spell_slow_enemy_2;Улиткин шаг;;;;;;;;;;;;;x;
spell_slow_enemy_3;Улиткин шаг;;;;;;;;;;;;;x;
sheogorath_tactic;Тактика Шеогората;;;;;;;;;;;;;x;
sheogorath_tactic_desc;Усиление случайных команд;;;;;;;;;;;;;x;
EVTDESC600069;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600069;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600069;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600069;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600069;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_sheogorath_tactic_1;Тактика Шеогората;;;;;;;;;;;;;x;
spell_sheogorath_tactic_2;Тактика Шеогората;;;;;;;;;;;;;x;
spell_sheogorath_tactic_3;Тактика Шеогората;;;;;;;;;;;;;x;
religious_fervor;Религиозный пыл;;;;;;;;;;;;;x;
religious_fervor_desc;Усиление религиозных команд;;;;;;;;;;;;;x;
EVTDESC600070;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600070;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600070;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600070;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600070;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_religious_fervor_1;Божественный трепет;;;;;;;;;;;;;x;
spell_religious_fervor_2;Божественный трепет;;;;;;;;;;;;;x;
spell_religious_fervor_3;Божественный трепет;;;;;;;;;;;;;x;
conjure_siege;Заклинание осады;;;;;;;;;;;;;x;
conjure_siege_desc;Усилить команду осады;;;;;;;;;;;;;x;
EVTDESC600071;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600071;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600071;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600071;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600071;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_conjure_siege_1;Заклинание осады;;;;;;;;;;;;;x;
spell_conjure_siege_2;Заклинание осады;;;;;;;;;;;;;x;
spell_conjure_siege_3;Заклинание осады;;;;;;;;;;;;;x;
final_stand;Стоять до последнего;;;;;;;;;;;;;x;
final_stand_desc;Увеличить узкий фланг команды;;;;;;;;;;;;;x;
EVTDESC600072;Используйте магию Мистицизма, чтобы улучшить командирские возможности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600072;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600072;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600072;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600072;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_final_stand_1;Ни шагу назад;;;;;;;;;;;;;x;
spell_final_stand_2;Ни шагу назад;;;;;;;;;;;;;x;
spell_final_stand_3;Ни шагу назад;;;;;;;;;;;;;x;
spell_charm;Очарование;;;;;;;;;;;;;x;
spell_charm_desc;Повышение сексуальной привлекательности;;;;;;;;;;;;;x;
EVTDESC600073;Используйте магию Иллюзии, чтобы увеличить у вашей цели сексуальную привлекательность.;;;;;;;;;;;;;x;
EVTOPTA600073;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600073;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600073;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600073;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_charm_1;Очарование;;;;;;;;;;;;;x;
spell_charm_2;Очарование;;;;;;;;;;;;;x;
spell_charm_3;Очарование;;;;;;;;;;;;;x;
pacify_vassals;Умиротворить вассалов;;;;;;;;;;;;;x;
pacify_vassals_desc;Улучшение мнения вассалов о вас;;;;;;;;;;;;;x;
EVTDESC600074;Используйте магию Иллюзии, чтобы улучшить у вашей цели отношения с вассалами.;;;;;;;;;;;;;x;
EVTOPTA600074;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600074;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600074;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600074;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_pacify_vassals_1;Умиротворить вассалов;;;;;;;;;;;;;x;
spell_pacify_vassals_2;Умиротворить вассалов;;;;;;;;;;;;;x;
spell_pacify_vassals_3;Умиротворить вассалов;;;;;;;;;;;;;x;
pacify_self;Усмирить эго;;;;;;;;;;;;;x;
pacify_self_desc;Улучшение отношений с сюзереном;;;;;;;;;;;;;x;
EVTDESC600075;Используйте магию Иллюзии, чтобы улучшить у вашей цели отношения с сюзереном.;;;;;;;;;;;;;x;
EVTOPTA600075;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600075;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600075;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600075;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_pacify_self_1;Усмирить эго;;;;;;;;;;;;;x;
spell_pacify_self_2;Усмирить эго;;;;;;;;;;;;;x;
spell_pacify_self_3;Усмирить эго;;;;;;;;;;;;;x;
improve_tolerance;Улучшить Толерантность;;;;;;;;;;;;;x;
improve_tolerance_desc;Улучшение отношений с неверными;;;;;;;;;;;;;x;
EVTDESC600076;Используйте магию Иллюзии, чтобы улучшить отношения с иноверцами.;;;;;;;;;;;;;x;
EVTOPTA600076;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600076;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600076;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600076;Я изменил свое решение.;;;;;;;;;;;;;x;
timer_improve_tolerance;Улучшить Толерантность;;;;;;;;;;;;;x;
terrain_knowlege;Знание местности;;;;;;;;;;;;;x;
terrain_knowlege_desc;Знание местности улучшает тактические способности.;;;;;;;;;;;;;x;
EVTDESC600077;Используйте магию Мистицизма для улучшения стратегического мастерства у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600077;Я сблизился с холмистыми равнинами!;;;;;;;;;;;;;x;
EVTOPTB600077;Сельхозугодия Нирна должны быть моими друзьями!;;;;;;;;;;;;;x;
EVTOPTC600077;В лесу я как у себя дома.;;;;;;;;;;;;;x;
EVTOPTD600077;Я хотел бы установить связь с другой местностью.;;;;;;;;;;;;;x;
EVTDESC600078;Используйте магию Мистицизма для улучшения стратегического мастерства у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600078;Возвышенности Mундуса раскроют мне свои секреты!;;;;;;;;;;;;;x;
EVTOPTB600078;Даже Босмеры будут бояться моего мастерства по части знания джунглей и лесов Валенвуда.;;;;;;;;;;;;;x;
EVTOPTC600078;Болота должны быть моим доменом!;;;;;;;;;;;;;x;
EVTOPTD600078;Я хотел бы установить связь с другой местностью.;;;;;;;;;;;;;x;
EVTDESC600079;Используйте магию Мистицизма для улучшения стратегического мастерства у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600079;Пепельные и ледяные пустоши будут служить моей воле!;;;;;;;;;;;;;x;
EVTOPTB600079;Мои враги назовут родиной моей армии Каджитов - пустыню Уолкер.;;;;;;;;;;;;;x;
EVTOPTC600079;Я хотел бы установить связь с другой местностью.;;;;;;;;;;;;;x;
EVTOPTD600079;Я передумал.;;;;;;;;;;;;;x;
timer_terrain_knowlege_1;Местность мастерства - равнины;;;;;;;;;;;;;x;
timer_terrain_knowlege_1;Местность мастерства - равнины;;;;;;;;;;;;;x;
timer_terrain_knowlege_2;Местность мастерства - сельскохозяйственные земли;;;;;;;;;;;;;x;
timer_terrain_knowlege_3;Местность мастерства - леса;;;;;;;;;;;;;x;
timer_terrain_knowlege_4;Местность мастерства - холмы и горы;;;;;;;;;;;;;x;
timer_terrain_knowlege_5;Местность мастерства - джунгли и леса Валенвуда;;;;;;;;;;;;;x;
timer_terrain_knowlege_6;Местность мастерства - болота и топи;;;;;;;;;;;;;x;
timer_terrain_knowlege_7;Местность мастерства - Эшленд и Арктические пустоши;;;;;;;;;;;;;x;
timer_terrain_knowlege_8;Местность мастерства - Алик'р и другие пустыни;;;;;;;;;;;;;x;
heal_wounds;Залечить раны;;;;;;;;;;;;;x;
heal_wounds_desc;Залечить раны или инфицированные травмы.;;;;;;;;;;;;;x;
EVTDESC600080;Используйте магию Восстановления, чтобы исцелить вашу цель.;;;;;;;;;;;;;x;
EVTOPTA600080;Я излечу малую рану.;;;;;;;;;;;;;x;
EVTOPTB600080;Я излечу серьёзную рану.;;;;;;;;;;;;;x;
EVTOPTC600080;Я излечу гнойную рану.;;;;;;;;;;;;;x;
EVTOPTD600080;Я передумал.;;;;;;;;;;;;;x;
regenerate_body;Восстановить тело;;;;;;;;;;;;;x;
regenerate_body_desc;Исцелить части тела.;;;;;;;;;;;;;x;
EVTDESC600081;Используйте магию Восстановления, чтобы исцелить вашу цель.;;;;;;;;;;;;;x;
EVTOPTA600081;Я выращу ногу цели.;;;;;;;;;;;;;x;
EVTOPTB600081;Я выращу руку цели.;;;;;;;;;;;;;x;
EVTOPTC600081;Я выращу глаз цели.;;;;;;;;;;;;;x;
EVTOPTD600081;Я верну цели лицо.;;;;;;;;;;;;;x;
EVTOPTE600081;Я исцелю изуродованное тело цели.;;;;;;;;;;;;;x;
EVTOPTG600081;Я верну цели плодовитость.;;;;;;;;;;;;;x;
EVTOPTH600081;Я восстановлю потерянный глаз цели.;;;;;;;;;;;;;x;
EVTOPTI600081;Я устраню калечащие раны моей цели.;;;;;;;;;;;;;x
EVTOPTL600081;Я передумал.;;;;;;;;;;;;;x;
EVTDESC600083;Используйте магию Школы Восстановления чтобы изгнать следующую болезнь из тела вашей цели:;;;;;;;;;;;;;x;
EVTOPTA600083;Грипп.;;;;;;;;;;;;;x;
EVTOPTB600083;Чахотка.;;;;;;;;;;;;;x;
EVTOPTC600083;Тифозная лихорадка.;;;;;;;;;;;;;x;
EVTOPTD600083;Разжижение мозга.;;;;;;;;;;;;;x;
EVTOPTE600083;Чума.;;;;;;;;;;;;;x;
EVTOPTF600083;Кровавая чума.;;;;;;;;;;;;;x;
EVTOPTG600083;Оспа.;;;;;;;;;;;;;x;
EVTOPTH600083;Бурая гниль.;;;;;;;;;;;;;x;
EVTOPTI600083;Пневмония.;;;;;;;;;;;;;x;
EVTOPTJ600083;Гонорея.;;;;;;;;;;;;;x;
EVTOPTK600083;Кнахатенский грипп.;;;;;;;;;;;;;x;
EVTOPTL600083;Болотная гниль.;;;;;;;;;;;;;x;
EVTOPTM600083;Холера.;;;;;;;;;;;;;x;
EVTOPTN600083;Мокрый червь.;;;;;;;;;;;;;x;
EVTOPTO600083;Ведьмина сыпь.;;;;;;;;;;;;;x;
EVTOPTP600083;Зелёные споры.;;;;;;;;;;;;;x;
EVTOPTQ600083;Каменная подагра.;;;;;;;;;;;;;x;
EVTOPTR600083;Желудочная гниль.;;;;;;;;;;;;;x;
EVTOPTS600083;Хронодиазис;;;;;;;;;;;;;x;
EVTOPTT600083;Любовная сыпь.;;;;;;;;;;;;;x;
EVTOPTV600083;Дизентерия.;;;;;;;;;;;;;x
EVTOPTW600083;Подагра.;;;;;;;;;;;;;x
EVTOPTX600083;Пищевое Отравление.;;;;;;;;;;;;;x
EVTOPTY600083;Бешенство.;;;;;;;;;;;;;x
EVTOPTZ600083;Рак.;;;;;;;;;;;;;x
EVTOPT0600083;Цинга.;;;;;;;;;;;;;x
EVTOPTU600083;Я передумал.;;;;;;;;;;;;;x;
remove_deformity;Удаление Деформации;;;;;;;;;;;;;x;
remove_deformity_desc;Исправить косолапость, горбатость или заячью губу.;;;;;;;;;;;;;x;
EVTDESC600084;Используйте магию Восстановления, чтобы исцелить деформированное тело у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600084;Хочу выпрямить ногу моей цели.;;;;;;;;;;;;;x;
EVTOPTB600084;Желаю исцелить Заячью Губу у моей цели.;;;;;;;;;;;;;x;
EVTOPTC600084;Желаю вылечить спину у моей цели.;;;;;;;;;;;;;x;
EVTOPTD600084;Я передумал(а).;;;;;;;;;;;;;x;
heal_senses;Исцелить чувства;;;;;;;;;;;;;x;
heal_senses_desc;Исцелить ваш разум или улучшить ваши чувства.;;;;;;;;;;;;;x;
EVTDESC600085;Используйте магию Школы Восстановления дл того, чтобы усилить органы чувств вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600085;Моя цель вновь увидит мир!;;;;;;;;;;;;;x;
EVTOPTB600085;Моя цель вновь будет слышать!;;;;;;;;;;;;;x;
EVTOPTC600085;Моя цель станет более чувствительной!;;;;;;;;;;;;;x;
EVTOPTM600085;Я передумал.;;;;;;;;;;;;;x;
heal_voice;Исцелить голос;;;;;;;;;;;;;x;
heal_voice_desc;Убрать немоту, исправить шепелявость или заикание.;;;;;;;;;;;;;x;
EVTDESC600086;Использовать Школу Восстановления для того, чтобы исцелить цель.;;;;;;;;;;;;;x;
EVTOPTA600086;Моя цель вновь заговорит!;;;;;;;;;;;;;x;
EVTOPTB600086;Моя цель будет говорить внятно!;;;;;;;;;;;;;x;
EVTOPTC600086;Моя цель перестанет заикаться! ;;;;;;;;;;;;;x;
EVTOPTD600086;Заячья губа больше не помешает цели!;;;;;;;;;;;;x;;
EVTOPTE600086;Голос цели наполнится силой!;;;;;;;;;;;;x;;
EVTOPTF600086;Голос цели станет подобен музыке!;;;;;;;;;;;;x;;
EVTOPTG600086;Я передумал.;;;;;;;;;;;;;x;
soothing_melody;Успокаивающая мелодия;;;;;;;;;;;;;x;
soothing_melody_desc;Рассеять стресс или депрессию.;;;;;;;;;;;;;x;
EVTDESC600087;Использовать Школу Иллюзии для того, чтобы исцелить разум цели.;;;;;;;;;;;;;x;
EVTOPTA600087;Стресс моей цели развеится, как утренний туман.;;;;;;;;;;;;;x;
EVTOPTB600087;Изыди, чёрная собака депрессии!;;;;;;;;;;;;;x;
EVTOPTC600087;Я передумал.;;;;;;;;;;;;;x;
tame_inner_demons;Усмирить внутренних демонов;;;;;;;;;;;;;x;
